Mode,Crash In Disadvantaged Community,MasterFile,CollisionDate,CollisionTime,CollisionDayWeekCode,RoadwayName_HouseBusinessNumber_,RoadwayName_RoadwayName_,RoadwayName_Direction_,RoadwayName_RoadwaySuffix_,RoadwayfromReport,CurrentRoadwayNumber,RSEUniqueGIS,RoadwayIdentifier,ParkingLotIndicator,Latitude,Longitude,MannerofCollisionCode,YR,KABCO,KTC_RT,KTC_MP,Motorcyclist,Commercial Vehicle,Young Driver,Mature Driver,Pedestrian,Bicyclist,Distracted,Aggressive,Impaired,Unrestrained,Intersection,Roadway Departure,Median Cross-over,In City Limits?
Motor Vehicle,DAC,72343739,20190423,1502,2,NULL,BEECH                                   ,NULL,ST   ,NULL,NULL,047 CS-1030    ,CS1030                                         ,N,37.70349,-85.86004,7,2019,O,047-CS-1030  -000,0.504,0,0,0,0,0,0,1,0,0,0,1,0,0,Y
Motor Vehicle,Non DAC,72343835,20190416,1440,2,NULL,DIXIE                                   ,S ,HWY  ,US0031W ,US0031W ,047 US-31W     ,US0031W                                        ,N,37.65966,-85.84901,1,2019,C,047-US-0031W -000,14.092,0,0,0,0,0,0,0,1,0,0,0,1,0,Y
Motor Vehicle,DAC,72344009,20190422,1530,1,NULL,DIXIE                                   ,N ,AVE  ,US0031W ,US0031W ,047 US-31W     ,US0031W                                        ,N,37.71813,-85.87895,8,2019,O,047-US-0031W -000,18.733,0,0,0,0,0,0,0,0,0,0,0,1,0,Y
Motor Vehicle,DAC,72344010,20190424,1823,3,NULL,RING                                    ,NULL,RD   ,KY3005  ,KY3005  ,047 KY-3005    ,KY3005                                         ,N,37.72934,-85.88065,5,2019,O,047-KY-3005  -000,6.749,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
Motor Vehicle,DAC,72344715,20190426,1111,5,NULL,DIXIE                                   ,E ,AVE  ,US0031W ,US0031W ,047 US-31W     ,US0031W                                        ,N,37.66989,-85.84645,5,2019,O,047-US-0031W -000,14.808,0,0,0,0,0,0,1,0,0,0,0,0,0,Y
Motor Vehicle,DAC,72344969,20190426,1638,5,NULL,DIXIE                                   ,N ,AVE  ,US0031W ,US0031W ,NULL,NULL,N,37.72387,-85.88233,1,2019,O,047-US-0031W -000,19.165,0,0,0,0,0,0,1,1,0,0,0,0,0,Y
Motor Vehicle,Non DAC,72345071,20190426,659,5,NULL,ST JOHN                                 ,NULL,RD   ,KY1357  ,KY1357  ,047 KY-1357    ,KY1357                                         ,N,37.69511,-85.90854,5,2019,O,047-KY-1357  -000,14.728,0,0,1,0,0,0,1,0,0,0,0,0,0,Y
Motor Vehicle,Non DAC,72345072,20190425,958,4,NULL,COLLEGE ST RD                           ,NULL,NULL,NULL,NULL,047 CS-1124    ,CS1124                                         ,N,37.68983,-85.88188,9,2019,O,047-CS-1124  -000,0.83,0,0,0,0,0,0,0,0,0,0,0,1,0,Y
Motor Vehicle,DAC,72345135,20190419,1057,5,NULL,WINDVIEW                                ,NULL,PL   ,NULL,NULL,047 CS-1587    ,CS1587                                         ,N,37.72266,-85.83989,2,2019,O,047-CS-1587  -000,0.027,0,0,0,0,0,0,0,1,0,0,0,0,0,Y
Motor Vehicle,DAC,72345136,20190420,1327,6,NULL,DIXIE                                   ,N ,AVE  ,US0031W ,US0031W ,047 US-31W-10  ,US0031W                                        ,N,37.73395,-85.88706,5,2019,O,047-US-0031W -000,19.901,0,0,1,0,0,0,1,0,0,0,1,0,0,Y
Motor Vehicle,DAC,72345137,20190425,1833,4,NULL,DIXIE                                   ,N ,AVE  ,US0031W ,US0031W ,047 US-31W     ,US0031W                                        ,N,37.72674,-85.88328,5,2019,O,047-US-0031W -000,19.366,0,0,1,0,0,0,0,1,0,0,0,0,0,Y
Motor Vehicle,DAC,72345368,20190427,2055,6,NULL,BUFFALO CREEK                           ,NULL,DR   ,NULL,NULL,047 CS-1431    ,CS1431                                         ,N,37.71306,-85.83233,5,2019,O,047-CS-1431  -000,0.049,0,0,1,0,0,0,1,0,0,0,0,0,0,Y
Motor Vehicle,Non DAC,72345495,20190428,1032,0,NULL,NULL,NULL,NULL,I 0065  ,I 0065  ,NULL,NULL,N,37.71418,-85.82793,5,2019,O,047-I -0065  -511,0.281,0,0,0,1,0,0,1,0,0,0,0,0,0,Y
Motor Vehicle,DAC,72345611,20190426,1339,5,NULL,DIXIE                                   ,N ,AVE  ,US0031W ,US0031W ,047 US-31W-10  ,US0031W                                        ,N,37.74118,-85.89059,5,2019,O,047-US-0031W -000,20.436,0,0,0,1,0,0,1,1,0,0,0,0,0,Y
Motor Vehicle,DAC,72345612,20190426,1804,5,NULL,MULBERRY                                ,N ,ST   ,US0062  ,US0062  ,047 US-62-10   ,US0062                                         ,N,37.71051,-85.83615,5,2019,O,047-US-0062  -000,19.696,0,0,0,0,0,0,1,1,0,0,0,0,0,Y
Motor Vehicle,DAC,72345613,20190427,1050,6,NULL,MILES                                   ,N ,ST   ,KY0251  ,KY0251  ,047 KY-251     ,KY0251                                         ,N,37.71166,-85.85293,4,2019,O,047-KY-0251  -000,1.192,0,0,1,0,0,0,1,0,0,0,0,0,0,Y
Motor Vehicle,DAC,72346186,20190429,1636,1,NULL,POPLAR                                  ,W ,ST   ,NULL,NULL,047 CS-1068    ,CS1068                                         ,N,37.70225,-85.86749,1,2019,O,047-CS-1068  -000,0.808,0,0,0,0,0,0,0,0,0,0,1,0,0,Y
